N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Ambrosiakaka sockerkaka m glasyr;1664;1583;378;3,8;16,1;53,9;0,7;0,4;0,8;24,6;0;3;34,8;34,5;0;7,8;0,7;0,4;0,8;4,6;1;0;5,3;0,1;5,2;2,1;0,7;1,5;0;0,2;0,4;0;0;0;0;0,3;60,8;160;74;33;1,14;2,1;4;0,12;0,08;4;0,9;1,7;0,09;0,18;109;17;4;1;0,52;58;62;8;165;3,3;0,35
Amerikanska cookies choklad;1621;2032;486;5,2;22,9;63,3;2,5;0,8;1,6;4,5;0;3,7;40,2;38,5;0;10,1;0,3;0,4;0,4;5,5;3,3;0,1;9,6;0,1;9,3;2,2;;1,8;0;;0,4;0;0;0;0;1,9;27,5;43;41;16;0;3,1;40;0,02;0,13;0;0,6;1,5;0,06;0,14;145;17;10;0;2,71;55;339;40;323;3,8;0,94
Amerikanska muffins ospec;1677;1804;431;5,8;24,3;46,8;1,6;0,7;1,3;20,2;0;0,5;25,4;24,2;0;2,2;0;0;0;1,4;0,6;0,1;14;0,1;13,5;6,7;;4,7;0;;1,8;0;0;0;0;0,1;63,7;42;41;2;0;3,1;40;0,03;0,12;0;0,4;1,9;0,05;0;212;16;9;0;1,07;35;183;16;292;4,5;0,55
Ananas;550;230;55;0,4;0,4;11,7;1,2;0;0,3;86;0;3,7;7,5;7,5;0;0;0;0;0;0;0;0;0;0;0;0,1;;0,1;0;;0,1;;0;0;0;0;0;1;0;10;0;0,1;;0,09;0,04;15;0,4;0,5;0,09;0;7;11;1;48;0,2;7;113;14;1;0,6;0,1
Ananas konserv m juice;614;260;62;0,4;0,1;14,2;1;0;0,3;84;0;6,2;8,5;8,5;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;2;0;24;0;0;;0,1;0,02;10;0,3;0,4;0,08;0;6;5;;0;0,3;14;122;14;1;0,2;0,1
Ananas konserv m medelsˆt lag;617;362;87;0,4;0,1;20,2;1;0;0,3;78;0;3,7;16,3;16,3;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;1;0;6;0;0;;0,09;0,02;7;0,3;0,4;0,07;0;7;5;1;0;0,3;14;104;17;1;0,2;0,1
Ananasjuice konserv drickf;660;230;55;0,3;0,1;12,8;0,5;0;0,3;86;0;7,4;4,4;4,4;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;2;0;18;0;0;;0,06;0,02;11;0,3;0,4;0,1;0;8;23;;0;0,3;17;134;13;1;0,2;0,1
Anka ankbrˆst rÂ;1151;497;119;19,9;4,3;0;0;0,1;1,3;74,5;0;0;0;0;0;1,3;0;0;0,1;0,7;0,3;0;1,2;0,2;1;0,6;;0,5;0;;0,1;;0;0;0;0;80;16;16;0;0,4;0,1;;0,42;0,31;0;3,4;7,1;0,63;0,8;186;25;;0;4,5;3;270;22;57;20;0,7
Anka m skinn rÂ;1153;1657;396;11,5;39,5;0;0;0,2;0,7;48,3;0;0;0;0;0;13,2;0;0;0,3;9,6;3,2;0;18,7;1,6;16,7;5,1;;4,7;0;;0,4;;0;0;0;0;76;51;51;0;1,4;0,5;;0,2;0,21;3;4;6,1;0,19;0,2;139;13;;28;1,2;11;210;20;63;20;1,4
Ansjovis skarpsill inlagd;1265;898;215;12,5;13,1;11,8;0;6,9;9,6;53;0;0,2;2,7;2,7;0;3;0;0;0,9;1,8;0,1;0;5,5;0,7;1,7;3,4;;0,3;0,1;;0,2;;0,7;0,1;1,2;0;90;54;54;0;0,21;0,6;;0,02;0,16;0;2,2;4,5;0,45;10;141;5;45;28;1,3;99;145;13;2750;20;1,8
Apelsin;551;207;49;0,8;0,1;10,2;1,9;0;0,5;86,5;0;5,3;3,6;3,6;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;3;0;38;0;0,6;;0,08;0,04;53;0,3;0,4;0,06;0;21;30;0;29;0,15;41;158;10;1;0,2;0,1
Apelsinjuice drickf pastˆriserad ;661;181;43;0,6;0,1;9,8;0,1;0;0,4;89;0;6,2;2,2;2,2;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;3;0;0,1;;0,06;0,03;35;0,3;0,4;0,09;0;14;15;;0;0,4;8;175;11;2;0,2;0
Apelsinjuice f‰rskpressad;641;200;48;0,7;0,2;10,6;0,1;0;0,4;88;0;4,8;0,7;0,7;0;0;0;0;0;0;0;0;0;0;0;0,1;;0;0;;0;;0;0;0;0;0;10;0;120;0;0,2;;0,09;0,03;50;0,4;0,5;0,04;0;17;30;;0;0,2;11;200;11;1;0,2;0,1
Apelsinjuice konc;642;690;165;2,4;0,2;37,5;0,5;0;1,4;58;0;14;18;18;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;;0;14;0;168;0;1;;0,28;0,06;138;0,7;1,1;0,16;0;57;155;;0;0,4;32;670;34;3;0,5;0,2
Apelsinmarmelad;1793;976;233;0,2;0;56,9;0,7;0,1;0,2;42;0;31,6;22,5;22,5;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;1;0;16;0;0,1;;0,01;0,01;5;0,2;0,2;0;0;2;5;0;0;0,3;20;20;1;20;0,3;0
Apelsinmarmelad l‰ttsockrad;1796;774;185;0,5;0,1;44,5;0,7;0,1;0,2;54;0;24,3;17,3;17,3;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;4;0;48;0;0,1;;0,01;0,01;5;0,1;0,2;0;0;4;5;;0;0,1;10;20;1;20;0,3;0
Apelsinnektar osˆtad drickf pastˆriserad berik;668;131;31;0,5;0;7,2;0;0;0,3;92;0;5,3;1,1;1,1;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;1;0;10;0;0,1;;0,06;0,01;15;0,2;0,3;0,03;0;11;22;;0;0,1;6;127;5;1;0;0
Apelsinris;836;394;94;2;3,6;12,8;0,9;0,2;0,7;79,9;0;2,3;5;3,3;0;2,2;0,2;0,1;0,4;1,1;0,3;0;0,9;0,1;0,8;0,2;0;0,1;0;0;0;0;0;0;0;0,1;10,1;34;28;41;0,14;0,4;1;0,06;0,07;23;0,2;0,7;0,05;0,19;53;17;13;13;0,09;62;133;10;84;0,7;0,27
Apelsinsaft drickf berik ;1815;128;31;0;0;7,5;0;0;0;92,5;0;2,5;4,9;4,9;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;1;0;6;0;0;;0,01;0;25;0;0;0;0;2;1;;0;0;1;19;6;4;0;0
Apelsinsaft konc berik ;1814;813;194;0,3;0;47,5;0;0,1;0,2;52;0;15,6;30,4;30,4;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;5;0;54;0;0,1;;0,04;0;140;0,1;0,2;0;0;7;5;;0;0;4;96;0;22;0;0
Apelsinsallad;635;454;108;1,5;4,6;14,2;1,9;0,2;0,7;77;0;7,3;5;4,9;0;0,6;0;0;0;0,5;0,1;0;3,2;0;3,1;0,5;0,2;0,5;0;0;0;0;0;0;0;0;0;3;0;40;0;1,1;1;0,1;0,04;44;0,3;0,6;0,06;0;38;29;12;26;0,42;39;188;15;95;0,3;0,16
Apelsinskal;598;433;104;1,5;0,2;21,8;3,7;0;0,8;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;21;0;250;0;0;;0,12;0,09;136;0,9;1,2;0,18;0;21;2;;0;0,8;161;210;22;3;0,2;0
