N‰ringsv‰rden per 100 gram livsmedel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kJ)(kJ);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa m‰ttade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelom‰ttade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa flerom‰ttade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa lÂnga n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);J‰rn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg)
Frukostkorv fett 23% kokt;1526;1137;272;10,5;24,3;3,4;0;2,1;2,5;59,2;0;0;0;0;0;9,1;0;0;0,4;5,5;2,9;0,1;11,5;0,9;10,2;2,6;;2;0,1;;0,1;;0;0;0;;68,8;11;11;8;0,21;0,3;;0,1;0,07;0;2,1;4;0,08;0,76;92;3;;0;1,16;13;126;13;836;2,1;1,8
Frukostkorv stekt;1530;1137;272;10,5;24,3;3,4;0;2,1;2,5;59,2;0;0;0;0;0;9,1;0;0;0,4;5,5;2,9;0,1;11,5;0,9;10,2;2,6;;2;0,1;;0,1;;0;0;0;;68,8;11;11;8;0,21;0,3;;0,1;0,08;0;2,1;4;0,13;0,93;92;3;;0;1,16;13;131;13;836;2,1;1,8
Frukostost fett 13% Kavli berikad +ABCDE;2045;833;199;14,4;13,1;6,1;0;2,4;4,3;62,1;0;0;0;0,1;0;8,4;1;0,4;1,3;3,9;1,3;0;3,4;0,2;2,9;0,5;;0,3;0;;0,1;0;0;0;0;0,7;40;587;583;43;3,63;4;1;0,01;0,66;50;0,1;3,4;0,07;0,64;708;151;6;;0,06;276;103;15;957;5,7;2,23
Frukt b‰r konserv osˆtad el m sˆtmedel u energi;637;146;35;0,4;0,1;7,6;0,8;0;0,3;90,8;0;5,7;1,7;1,7;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;8;0;96;0;0,1;;0,03;0,05;4;0,3;0,4;0,07;0;9;3;;0;0,2;7;105;7;2;0,1;0
Frukt torkad;612;1112;266;3,3;0,5;56,8;9;0,1;2,4;28;0;34;8,1;8,1;0;0;0;0;0;0;0;0;0,2;0;0,2;0,1;;0,1;0;;0;;0;0;0;0;0;122;0;1460;0;0,3;;0,04;0,16;4;1,9;2,5;0,16;0;79;7;;0;4;45;880;39;34;0,5;0,5
Fruktcocktail konserv m medelsˆt lag;632;340;81;0,4;0;18,9;1,5;0;0,2;79;0;16,4;2,8;2,8;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;10;0;120;0;0,4;;0,02;0,02;2;0,4;0,5;0,05;0;11;3;;0;0,3;6;88;5;6;1;0,1
Fruktdryck m kolsyra;1826;168;40;0;0;9,9;0;0,1;0,1;90;0;1;9;9;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;1;0;0;0;0;2;11;1;23;0;0
Fruktdryck u kolsyra;1827;202;48;0;0;11,9;0;0,1;0,1;88;0;1;9;9;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;2;40;0;26;0;0
Fruktkola AKO;1877;1649;394;0,7;0;96,3;0;0;0;3;0;20,4;36,7;31,3;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,1;0;0;3;0;2;0;0,06;2;2;1;7;1,1;0,01
Fruktsallad;638;247;59;0,6;0,2;12,3;2,2;0;0,5;84,1;0;6,8;3,3;3,3;0;0,1;0;0;0;0;0;0;0;0;0;0,1;;0,1;0;;0;0;0;0;0;0;0;2;0;25;0;0,4;0;0,04;0,04;31;0,3;0,4;0,12;0;17;22;0;19;0,24;18;184;15;2;0,4;0,09
Fruktsocker;1898;1559;373;0;0;91,7;0;0;0;8,3;0;91,7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;1;0;0
Fruktsoppa ‰tf blandad torkad frukt pastˆriserad berik ;1750;226;54;0,2;0;12,9;0,4;0;0,5;86;0;4,3;6,7;6,7;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;25;0;300;0;0,1;;0,01;0,02;20;0,2;0,2;0,02;0;11;2;;0;0,3;13;24;5;5;0,1;0,1
FrukttÂrta hallonsylt vaniljkr‰m mandelmassa frukter gele;1651;1043;249;5,1;7,5;37,4;5,7;0,3;0,9;43,5;0;3,8;28;26,3;0;2,1;0,2;0,6;0,3;0,7;0,4;0;3,6;0;3,5;1,3;;1,2;0;;0;0;0;0;0;0,4;28,3;13;7;67;0,1;2,4;1;0,02;0,55;2;0,6;1,9;0,04;0,17;133;16;9;0;0,97;64;187;28;99;0,4;0,54
Fruktyoghurt fett 2% ;136;389;93;3,3;2;15;0,5;0,1;0,7;78,5;0;2;12,5;9;0;1,3;0,2;0,1;0,2;0,6;0,2;0;0,5;0;0,4;0;0;0;0;0;0;;0;0;0;0,1;6,4;17;17;9;0,01;0,1;;0,04;0,16;2;0,1;0,9;0,04;0,2;92;23;;0;0,1;104;152;12;36;1,1;0,3
Fruktyoghurt fett 2,5%;125;408;97;3,3;2,5;15;0,5;0,1;0,7;78;0;2;12,5;9;0;1,6;0,3;0,1;0,3;0,7;0,3;0;0,6;0;0,5;0;0;0;0;0;0;;0;0;0;0,1;8;22;21;12;0,02;0,1;;0,04;0,16;2;0,1;0,9;0,04;0,2;92;23;;0;0,1;104;152;12;36;1,1;0,3
Fruktyoghurt l‰tt fett < 0,05%;138;216;52;3,8;0,1;8,8;0;0,1;0,6;86,9;0;0,9;8,9;6,5;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0,04;0,14;1;0,1;1;0,04;0,23;83;20;10;0;0,04;73;136;9;36;3,2;0,38
Fruktyoghurt l‰tt fett 0,5%;126;317;76;3;0,5;14,3;0,5;0,1;0,7;81;0;6,1;8,1;5,3;0;0,3;0,1;0;0,1;0,1;0,1;0;0,1;0;0,1;0;0;0;0;0;0;;0;0;0;0;1,6;4;4;2;0;0;;0,04;0,17;2;0,1;0,8;0,04;0,2;92;23;;0;0,1;104;152;12;36;1,1;0,3
Fruktyoghurt l‰ttsockrad fett 0,2%;2242;267;64;3,6;0,3;11,5;0;0,1;0,7;84;0;2,4;6,6;4,2;0;0,2;0;0;0;0,1;0;0;0,1;0;0,1;0;0;0;0;0;0;;0;0;0;0;5,2;2;0;18;0;0,1;0;0,04;0,14;1;0,2;1;0,06;0,26;82;22;5;;0;73;161;11;46;1,8;0,35
Fruktyoghurt l‰ttsockrad laktosreducerad fett 0,1%;2243;268;64;3,9;0,3;11,2;0;0,1;0,9;83,7;0;2,1;4,8;4,5;0;0,2;0;0;0;0,1;0;0;0,1;0;0,1;0;0;0;0;0;0;;0;0;0;0;3,6;7;7;8;0,32;0;0;0,05;0,16;1;0,2;1,1;0,06;0,3;102;17;8;;0;50;195;13;47;2,1;0,48
Fullkornsmacka rÂg olika fyllningar typ Wasa sandwich;2063;1972;471;12,6;24,5;45,9;9,1;2,2;3,8;4,2;0;1,2;1,9;0,2;82;16,6;0;3,7;2;7,6;1,4;0,1;5,5;0,1;5,3;1,3;;1,1;0;;0,1;0;0;0;0;0,4;22,6;79;58;256;0,11;1,7;3;0,15;0,27;0;1;4;0,24;0,34;414;74;11;;1,48;200;383;57;860;3,6;2,47
Fullkornsskorpor osˆtade;1604;1618;387;12,9;6,2;64,1;10;1,5;2,6;4,3;0;0,6;4,6;2,9;60;0,7;0;0;0;0,3;0,3;0;2,7;0;2,6;1;;0,9;0;;0,1;0;0;0;0;0,6;2;0;0;2;0;0,9;5;0,24;0,2;0;7,1;9,2;0,41;0;236;52;3;0;2,5;30;350;74;602;4,5;1,84
Fusilli / lasagneplattor glutenfri okokt;2221;1509;361;7,4;1,4;76,9;3,1;0;0,9;10,3;0;0;0,6;0,6;0;0,8;0;0;0;0,5;0,3;0;0,1;0;0,1;0,3;0,3;0,3;0;0;0;;0;0;0;0;0;0;0;0;0;0,1;1;0,05;0,04;0;0,4;1,2;0,11;0;96;42;0;;2,53;47;305;48;5;0;0,79
Fyllda kex;1627;2045;489;5,4;24,5;60,7;1,8;0,8;1,2;6,4;0;3,2;21;19,4;0;9,4;0,7;1,3;1;3,3;2,9;0,1;9,4;0,3;8,7;3,5;;3,1;0;;0,4;;0;0;0;;77;226;223;32;1,58;1,9;;0,15;0,09;0;1,2;2,1;0,05;0,2;104;11;;0;0,5;28;123;22;311;1;0,6
Fyllda rÂn sˆtade m fruktsocker;1635;2120;507;9;23;65,2;1;0,3;0,5;1,3;0;15;3,5;0;0;5,2;0;0;0;2,4;2,5;0,1;14,6;0;14,4;2;;1,9;0;;0,2;;0;0;0;;39;138;136;20;0;1,9;;0,02;0,07;0;0,3;1,8;0,03;0;61;4;;0;0,4;12;84;22;109;1;0,6
Fyllda rÂn sˆtade m sorbitol;1634;2320;555;10;33;54,2;1;0,3;0,5;1,3;0;1,1;3,5;0;0;7,5;0;0;0;3,5;3,5;0,2;21;0,1;20,7;2,9;;2,7;0;;0,2;;0;0;0;;39;138;136;20;0;1,9;;0,02;0,07;0;0,3;2;0,03;0;61;4;;0;0,4;12;84;22;109;1;0,6
Fyllt vetebrˆd bullar l‰ngd ospec.;1602;1464;350;6,5;10,3;56,1;2,5;0,5;0,9;23,8;0;7,5;10,4;9,1;0;3,9;0,3;0,5;0,5;1,9;0,5;0;4,3;0,1;4;1,7;;1,3;0;;0,3;0;0;0;0;0,3;10,2;99;95;49;0,27;1,7;7;0,08;0,11;0;1,1;2,2;0,08;0,12;84;43;5;0;0,95;43;161;25;186;2,1;0,65
FÂr i kÂl;510;226;54;6,7;1,8;2,1;1,2;0,6;1,1;87,1;0;2,4;0,2;0,2;0;0,8;0;0;0,1;0,4;0,2;0;0,7;0;0,7;0,2;0,1;0,1;0;0;0;0;0;0;0;0,1;19,3;3;2;14;0;0,1;22;0,05;0,05;10;1,8;3;0,08;0,47;69;7;28;18;0,53;23;183;12;240;2,3;1,18
F‰nkÂl;336;119;29;2,8;0,4;1,8;3,3;0;1,7;90;0;2,3;0,3;0,3;0;0,1;0;0;0;0,1;0;0;0,1;0;0;0,2;;0;0;;0,1;;0;0;0;0;0;175;0;2100;0;0,2;;0,23;0,11;31;0,2;0,7;0,1;0;51;3;;7;2,7;64;396;14;7;1;0,5
F‰nkÂl kokt;2164;119;28;2,8;0,4;1,8;3,3;0,3;2;89,8;0;2,3;0,3;0,3;0;0,1;0;0;0;0;0;0;0,1;0;0;0,2;;0;0;;0,1;;0;0;0;0;0;175;0;2094;0;0,2;;0,16;0,07;14;0,2;0,7;0,06;0;51;2;14;7;2,69;64;332;14;118;1;0,5
F‰rsk j‰st;1979;460;110;12,1;0,4;14,1;0;0;2,4;71;0;0;0;0;0;0;0;0;0;0;0;0;0,3;0,2;0,1;0;;0;0;;0;;0;0;0;;0;0;0;0;0;0,2;;0,71;1,65;0;11,2;13,2;0,6;0;395;1000;1;0;4,9;13;610;59;16;1;4,5
F‰rskost extra light fett 5% typ Philadelphia;109;484;116;12,3;5,3;4,7;0;0,9;1,5;76,2;0;0;2,8;0,1;0;3,4;0,4;0,2;0,5;1,6;0,5;0;1,3;0,1;1,1;0,2;;0,2;0;;0;0;0;0;0;0,3;27,5;56;55;18;0,1;0,1;0;0,03;0,25;0;0,1;3;0,04;0,35;132;24;19;0;0,09;57;188;8;342;6,2;0,55
F‰rskost fett 27% typ Philadelphia;107;1155;276;6,1;27,3;2,4;0;0,7;1,1;63,1;0;0;2,7;0;0;18;3,4;0,9;2,8;7,2;2,6;0;6,4;0,5;5,5;1,2;;0,6;0;;0,2;0;0;0;0;2,1;84,9;285;284;19;0,1;0,7;4;0,03;0,17;0;0,1;1,5;0,04;0,22;95;15;7;0;0,12;88;71;7;268;2,9;0,65
F‰rskost fett 33% typ Cantadou;101;1435;343;10,2;33;2,4;0;1,4;1,4;53;0;0;2,1;0;0;21,4;2,8;1,1;3,5;9,5;3,7;0,1;8,5;0,5;7,4;0,9;;0,6;0;;0,2;;0;0;0;;110;312;300;139;0,33;0,7;;0,04;0,2;0;0,1;2,5;0,06;0,2;160;13;;0;0,3;200;119;6;570;5,5;0,5
F‰rskost fett 35% Boursin;104;1423;340;4;35;3,5;0;0,7;0,8;56,7;0;0;0,4;0;0;22,7;3;1,1;3,7;10;3,9;0,1;9;0,5;7,9;0,9;;0,7;0;;0,2;;0;0;0;;120;269;262;80;0,25;0,8;;0,02;0,14;0;0,1;1;0,03;0,6;145;13;;0;0,1;68;40;5;260;5,5;0,4
F‰rskost l‰tt fett 15% typ Philadelphia;108;782;187;7,8;16;3,4;0;0,4;0,7;72,1;0;0,1;1,6;0;0;10,6;2;0,5;1,7;4,3;1,5;0;3,8;0,3;3,3;0,7;;0,4;0;;0,1;;0;0;0;;50,3;169;168;11;0,1;0,4;;0,02;0,1;0;0;1,9;0,02;0,13;57;18;;0;0,07;52;42;4;159;4;0,38
F‰rskost pÂ filmjˆlk fett ca 8%;73;496;119;8;8,4;2,9;0;0,1;0,7;80;0;0;2,8;0;0;5,6;1;0,3;0,9;2,4;0,9;0;1,9;0,1;1,7;0,2;;0,1;0;;0,1;;0;0;0;0,2;27;41;39;20;0,06;0,2;;0,02;0,14;0;0,1;2;0,03;0,6;145;12;;0;0,1;68;134;5;28;4;0,4
F‰rskost pÂ filmjˆlk o gr‰ddfil fett ca 14% ;74;743;178;9,7;14,2;3,1;0;0,1;0,7;72,3;0;1;3,1;0;0;9,5;1,6;0,5;1,5;4,1;1,5;0;3,3;0,2;2,9;0,3;;0,2;0;;0,1;;0;0;0;0,3;32;86;83;41;0,07;0,2;;0,04;0,15;0;0,1;2,3;0,03;0,5;160;11;;0;0,1;96;140;10;35;4;0,4
F‰rskpotatis kokt m salt;4511;296;71;1,4;0,1;14,8;2;0,1;0,8;80,9;0;1,9;1,1;1,2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;27;0;0,2;2;0,03;0,06;19;1,1;1,3;0,13;0;37;32;2;;0,64;5;320;19;43;0;0,19
F‰rskpotatis konserv;237;253;61;1,3;0,1;12,2;2,5;0,7;0,9;83;0;0,2;0,1;0,1;0;0;0;0;0;0;0;0;0;0;0;0,1;;0,1;0;;0;;0;0;0;0;0;0;0;0;0;0,1;;0,02;0,03;17;0,7;0,9;0,16;0;31;11;;0;0,7;11;230;10;260;0,1;0,3
F‰rskpotatis rÂ;4512;247;59;1,1;0,1;12,5;1,6;0;0,9;83,9;0;1,9;0,9;0,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;27;0;0,1;1;0,04;0,07;21;1,2;1,4;0,14;0;35;30;1;;0,58;5;335;20;5;0;0,18
Gammaldags mjˆlk fett 4,2 %;127;295;70;3,4;4,2;4,8;0;0,1;0,8;86,9;0;0;4,7;0;0;2,7;0,3;0,1;0,4;1,3;0,4;0;1,1;0,1;0,9;0,1;;0,1;0;;0;0;0;0;0;0,1;13,7;28;26;22;0,01;0,1;1;0,05;0,14;1;0,1;0,9;0,04;0,57;101;14;12;0;0,02;119;159;11;39;1,6;0,43
Gelatinblad gelatinpulver;1219;1466;350;86;0,1;0;0;0,1;1,3;12,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;15,8;0,01;0;0;0;;0;0;11;22;33;32;1;0,2
GelÈkonfekt;1863;1474;352;7,3;0;79,4;0;0,2;0,3;13;0;10,1;52;52;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;1,2;0;0;4;0;4;0;1,3;140;8;43;74;0;0,1
Getost chËvre vitmˆgelost fett 25% ;111;1445;345;20,6;29;1,4;0;1,7;2,8;46,3;0;0;0,4;0,1;0;20;3,8;1,1;2,7;7,7;3,5;0,1;5,9;0,3;5,4;1,3;;0,9;0;;0,2;0;0;0;0;1,4;97,6;302;302;2;0,15;0,7;4;0,05;0,42;0;0,7;5,5;0,18;0,19;263;48;43;0;0,68;169;134;17;686;11,3;0,93
Gin vol. % 40 ;1925;928;222;0;0;0;0;0;0;68;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0
Glasnudlar;819;1464;350;0,2;0,1;85,6;0,5;0;0,3;13,4;0;0;0,3;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0,1;;0,15;0;0;0,2;0,2;0,05;0;32;2;;0;2,17;25;10;3;10;7,9;0,41
Glasnudlar kokta m salt;2125;563;134;0,1;0;32,9;0,2;0,2;0,3;66,5;0;0;0,1;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;0,05;0;0;0,1;0,1;0,01;0;12;1;10;0;0,84;10;3;1;84;3;0,16
Glass m chokladkex GB Sandwich;1695;1111;266;4,7;10,4;37,4;1,4;0,4;1,1;45,1;0;1,3;20,8;16;0;7,5;0,9;2,7;1,1;2,3;0,5;0;1,8;0;1,8;0,5;;0,5;0;;0;0;0;0;0;0,1;7,7;10;10;2;0,1;0,7;0;0,06;0,19;0;0,4;1,5;0,05;0,25;102;17;16;0;0,73;46;190;20;156;3;0,49
Glass m havre 10% fett vanilj Oatly;1707;762;182;1,1;9,7;22,3;0,6;0,2;0,3;66;0;9,5;10,5;7,2;0;5,2;0;0,1;0,5;3,4;0,5;0;3,4;0;3,2;1;;0,9;0;;1;;0;0;0;;0;0;0;0;0;0,1;;0;0;0;0,1;0,3;0;0;25;1;;0;0;3;40;10;70;0;0,2
Glass m mar‰ng fett 10% ;1706;981;235;4;12,8;25,8;0,1;0,1;0,9;56,4;0;0;18;14,3;0;5,4;0,3;1;0,5;1,7;1,9;0,1;5,3;0;5,1;1,2;;0,8;0;;0,3;;0;0;0;;1,8;4;4;0;0;2,4;;0,04;0,15;0;0,1;0,8;0,05;0,44;90;2;;0;0,33;114;222;22;54;1,2;0,57
Glass m sˆtmedel el lightglass fett ca 6% ;1693;582;139;4,3;5,7;17,5;0;0,2;1;71,5;0;0;6,3;0,6;0;2,3;0,1;0,2;0,2;0,9;0,9;0;2,2;0;2,1;0,7;;0,7;0;;0,1;0;0;0;0;;12;30;30;0;0;0,8;;0,06;0,2;0;0,1;1,1;0,1;0,7;125;2;;0;0,1;126;214;14;87;0,1;0,5
Glass parfait m b‰r;1708;999;239;2,4;21,4;9,2;1,2;0;0,5;65;0;2,3;6,3;5;0;12,9;1,4;0,6;2;6,4;2,1;0;5,6;0,4;4,9;0,9;0,3;0,6;0;0;0,2;0;0;0;0;0,6;122,1;227;214;158;0,3;1,9;15;0,04;0,1;13;0,2;0,7;0,06;0,44;75;40;9;1;0,5;55;105;10;17;4,6;0,47
Glass veg fett 12%;1697;836;200;3,8;12;19,3;0;0,5;1,1;63,9;0;0;15,1;10,6;0;4,7;0,3;1,1;0,5;1,3;1,4;0,1;5,2;0;5;1,2;;0,9;0;;0,4;0;0;0;0;;2;4;4;0;0;1,9;;0,03;0,15;0;0,1;0,7;0,05;0,5;84;2;;0;0,1;107;155;14;178;0,1;0,5
Glass veg fett ca 10%;1691;807;193;3,3;9,7;23,1;0;0,1;0,7;63,2;0;3,3;13,2;7;0;2,9;0,1;0,2;0,1;1,2;1,2;0,1;4,3;0;4,3;1,9;;1,8;0;;0,1;0;0;0;0;;2;2;2;0;0;2;;0,03;0,15;0;0,1;0,9;0,05;0,5;84;2;;0;0,1;101;146;14;48;0,1;0,5
Glass veg fett ca 8%;1690;716;171;3,2;7,5;22,6;0;0,2;0,8;66;0;0,8;16;10,5;0;2,5;0,1;0,4;0,2;0,9;0,8;0;3,2;0;3,1;1,4;;1,2;0;;0,1;0;0;0;0;;2;1;1;0;0;1,2;;0,03;0,15;0;0,1;0,8;0,05;0,5;91;2;;0;0,1;96;147;14;60;0,1;0,5
Glasspinne el split m isˆverdrag fett ca 6% ;1701;630;151;1,7;6;22,3;0;0,1;0,5;69,6;0;1,6;17,1;14,5;0;2;0,1;0,3;0,1;0,7;0,7;0;2,5;0;2,5;1,1;;1;0;;0,1;;0;0;0;;1,6;1;1;1;0;1,2;;0,03;0,12;0;0,1;0,7;0,04;0,4;74;2;;0;0,14;56;87;13;49;0,1;0,42
Glasspinne fett 10%;2060;831;199;4,1;10,2;22,6;0;0,2;1;62,2;0;0,9;16,5;10;0;6,4;0;0,6;0,9;3,1;0,9;0;2,6;0,1;2,4;0,6;;0,4;0;;0,1;0;0;0;0;0,4;24,2;90;79;140;0,16;0,7;1;0,06;0,33;0;0,2;1,1;0,08;0,48;113;15;9;;0,2;129;215;17;62;2,1;0,36
Glasspinne fett ca 25% ;1699;1458;349;4,6;25,3;26;0;0,1;0,9;43,1;0;0;20,3;16,4;0;12;1;2,6;1,4;3,7;3;0,1;8,1;0,1;7,9;3,8;;3,3;0;;0,5;0;0;0;0;;29,5;33;28;64;0,07;2,7;;0,03;0,15;0;0,1;1,2;0,05;0,5;86;2;;0;0,1;125;199;14;52;0,2;0,5
Glasspinne hallon o mjˆlk fett 5,5% typ SIA;2059;696;166;3,3;5,6;25,5;0;0,1;0,9;64,8;0;7,4;13,4;7,9;0;3,7;0,5;0,2;0,6;1,7;0,7;0;1,4;0,1;1,2;0,2;;0,1;0;;0;0;0;0;0;0,3;17,2;47;46;20;0,48;0,3;1;0,04;0,22;3;0,2;1;0,08;0,33;88;24;9;;0,14;99;249;17;48;1,4;0,3
Glasspinne m kakaoˆverdrag fett 20% ;1700;1283;307;3,8;20,1;28;0;0,1;0,8;47,3;0;0;16,9;13,9;0;9,9;1,1;3,1;1,6;2,5;1,6;0,1;6,2;0,1;6;2,6;;2,1;0;;0,5;0;0;0;0;;29,5;37;32;64;0,07;2,9;;0,03;0,15;0;0,1;1;0,05;0,5;86;2;;0;0,1;102;195;14;44;0,2;0,5
Glasstrut Daim;1694;1443;345;3,7;20,8;35,1;1,6;0,2;0,8;38;0;1,7;23,8;19,1;0;13,8;1,5;4,4;1,7;3,2;2,8;0,1;5,2;0;5,1;0,7;;0,7;0;;0,1;0;0;0;0;1,4;5;11;11;5;0,1;1,1;3;0,05;0,14;0;0,3;1,1;0,04;0,19;94;12;10;0;0,84;58;158;20;75;1,5;0,42
Glasstrut fett ca 10% ;1702;1021;244;3,6;10,3;34;0,3;0,1;0,8;51,1;0;0,8;14,9;12,5;0;7;0,6;0,6;1,2;3,3;1,2;0;2,7;0,2;2,4;0,6;;0,4;0;;0,1;0;0;0;0;;37,3;40;38;41;0,08;0,7;;0,04;0,15;1;0,1;1;0,08;0,4;116;3;;0;0,19;89;167;15;57;0,3;0,52
Glasstrut fett ca 15% ;1692;1133;271;4;15,3;29,2;0,3;0,2;0,9;50,3;0;0;13,6;10,7;0;8;0,7;0,6;1,4;3,7;1,4;0;3,1;0,2;2,8;0,6;;0,5;0;;0,1;0;0;0;0;;48,4;89;89;54;0,1;0,8;;0,04;0,14;1;0,1;1;0,06;0,33;93;3;;0;0,19;95;192;15;67;0,3;0,52
GlasstÂrta fett 17% typ Vienetta;1705;1093;261;4,4;17;22,2;1,4;0,1;0,9;54;0;0,4;16;12,1;0;6,8;0,5;0,7;0,9;2,8;1,6;0,1;4,3;0,1;4;0,8;;0,6;0;;0,2;0;0;0;0;;27,5;45;41;43;0,05;1;;0,04;0,15;0;0,2;1;0,06;0,41;104;3;;0;0,54;133;214;34;48;0,2;0,73
GlassÂs choklad typ Ohoj;1778;1471;352;3,1;5,5;69,5;3,9;0,3;1,1;16,8;0;17,9;37,2;26;0;2,4;0;0;0,1;1,8;0,5;0;2,7;0;2,7;0,2;;0,2;0;;0;0;0;0;0;1,9;2;0;0;5;0,1;1,3;1;0,01;0,08;0;0,2;0,8;0,01;0;91;13;5;0;2,77;51;307;41;102;2,1;0,66
GlassÂs frukt typ Ohoj;1779;1324;317;0,1;0;77,8;0;0,3;0,3;21,8;0;25,6;28,7;17,9;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0,01;0;0;0;0;0;0;6;9;1;0;0,06;3;31;1;107;1,1;0
Glutenfritt hÂrt brˆd fibrer ca 7,5% typ Grovkn‰cke;2225;1558;372;2,9;2,3;79,9;8,1;1,3;1,7;5,1;0;3;0;0;0;1,1;0,1;0,2;0,1;0,6;0,1;0;0,8;0;0,8;0,3;0,2;0,3;0;0;0;;0;0;0;0,1;0;12;12;0;0;0,1;0;0,45;0,49;0;5,7;6,1;0,49;0;77;57;3;;6,4;48;75;19;514;0;0,68
Gourmetbullar vegetariska djupfrysta typ H‰lsans kˆk;2067;691;165;18,5;7;4,3;5,5;0,2;2,5;62,2;0;0,7;1,8;0,1;0;0,7;0;0;0;0,4;0,2;0;1,4;0;1,3;3,6;;3,5;0;;0;0;0;0;0;0;0;2;0;18;0;4,1;1;0,87;0,24;0;0,9;3,9;0,11;0;126;48;4;;1,49;76;240;43;74;11;0,83
Grahamsbrˆd fullkorn fibrer ca 13% typ Polarkraft extrem;3796;953;228;8,2;3,4;36;9,6;1,1;1,9;40,9;0;1,9;2,5;0;37;0,3;0;0;0;0,2;0,1;0;1,1;0;1;1,1;0,8;0,8;0;0,3;0,3;0;0;0;0;0;0;14;14;3;0,28;0,6;4;0,22;0,09;0;2,2;3,5;0,11;0;148;36;1;;1,76;38;241;53;427;0;1,31
Grahamsbrˆd fullkorn fibrer ca 6% ;184;1001;239;7,4;1,5;45,5;6;0,5;1,1;38,5;0;4;2,6;0,1;37;0,3;0;0;0;0,2;0;0;0,4;0;0,4;0,3;;0,2;0;;0;;0;0;0;;0;0;0;0;0;0,9;;0,17;0,09;0;3;4,2;0,28;0;145;26;;0;3,2;23;184;80;211;2,1;1,56
Grahamsbrˆd fullkorn m mjˆlk fibrer ca 5% ;210;1167;279;8,9;5,2;46,1;4,9;1,2;2,1;32,8;0;0,4;1,5;0;37;1;0;0;0;0,8;0,2;0;1,6;0;1,6;1,1;;0,9;0;;0,1;;0;0;0;;0,8;47;47;0;0,44;1,1;;0,27;0,15;0;3;4,5;0,2;0,1;280;27;;0;2,82;60;270;75;480;2,5;1,9
